Regional Hub,Teams,Last Chip,Fr. Years Since
Phoenix,4,2001,88
Atlanta,3,2021,6
Baltimore,2,2013,20
Boston,4,2019,16
Chicago,5,2016,35
Cincinnati,2,1990,66
Cleveland,3,2016,21
Denver,4,2023,0
Detroit,4,2008,60
Houston,3,2022,3
Kansas City,2,2023,0
Los Angeles,8,2022,8
Miami,4,2013,40
Milwaukee,3,2021,6
Minneapolis,4,1991,119
New York City,9,2012,99
San Francisco,5,2022,5
Philadelphia,4,2018,20
Pittsburgh,3,2017,18
San Diego,1,0,54
Seattle,3,2014,20
St. Louis,2,2019,8
Tampa Bay,3,2021,6
Dallas,4,2011,48
Toronto,3,2019,12
Washington D.C.,4,2019,16
Charlotte,3,2006,51
Indianapolis,2,2007,32
Nashville,3,0,71
New Orleans,2,2010,26
Oklahoma City,1,0,15
Orlando,1,0,34
Portland,1,1977,46
Sacramento,1,0,38
San Antonio,1,2014,9
Salt Lake City,1,1998,25
Buffalo,2,1966,110
Jacksonville,1,0,28
Las Vegas,2,2023,0
Calgary,1,1989,34
Columbus,1,0,23
Edmonton,1,1990,33
Montreal,1,1993,30
Ottawa,1,0,31
Vancouver,1,0,53
Winnipeg,1,0,12
